,items,type,veg/non-veg,Calcium,Calories,Carbohydrates,Carotene Vitamin A,Chlorine,Choline,Chromium,Copper,Fat,Fibre,Folic Acid Free,Iron,Magnesium,Manganese,Molybdenum,Niacin B3,Phosphorus,Potassium,Protein,Pyridoxin B6,Riboflavin B2,Sodium,Sulphur,ThiamineB1,Vitamin C,Water,Zink,Vitamin A RAE,Quantity
10,Angoor (Grapes) (Black),f,,20,58,13.1,3,0,0,0,0,0.4,2.8,0,0.5,0,0,0,0.2,23,0,0.6,0,0.03,0,0,0.04,1,82.2,0,0,Amount per 100 g. of edible portion
11,Angoor (Grapes) (Green),f,,20,71,16.5,0,0,0,0.01,0.2,0.3,2.9,0,0.5,82,0.11,0,0,30,0,0.5,0,0,0,0,0,1,79.2,0.1,0,Amount per 100 g. of edible portion
12,Anjeer (Figs),f,,80,37,7.6,162,0,0,0,0,0.2,2.2,0,1,0,0,0,0.6,30,0,1.3,0,0.05,0,0,0.06,5,88.1,0,14,Amount per 100 g. of edible portion
13,"Arhar, Tuar (Red Gram) Daal",,,73,335,57,132,5,183,0,1.2,1.7,1.5,19,2.7,90,0.68,0.28,2.9,304,1104,22.3,0.54,0.19,28.5,177,0.45,0,13.4,0.9,11,Amount per 100 g. of edible portion
14,Arvi Ka Saag (Colocasia Leaves),s,,460,77,8.1,12000,72,0,0.01,0.18,2,1.8,0,0.98,32,0,0,1.9,125,0,6.8,0,0.45,0,0,0.06,63,78.8,0,1000,Amount per 100 g. of edible portion
15,Badam (Almond),f,,230,655,10.5,0,0,0,0.16,0.97,58.9,1.7,0,5.1,373,1.88,0,4.4,490,0,20.8,0,0.57,0,0,0.24,0,5.2,3.57,0,Amount per 100 g. of edible portion
16,Baingan (Brinjal),,,18,24,4,74,52,52,0.01,0.12,0.3,1.3,5,0.38,15,0.13,0,0.9,47,200,1.4,0,0.11,3,44,0.04,12,92.7,0.22,6,Amount per 100 g. of edible portion
17,Bajra (Pearl Millet),b,,42,361,67.5,132,39,0,0.02,1.06,5,1.2,14,8,137,1.15,0.07,2.3,296,307,11.6,0,0.25,11,147,0.33,0,12.4,3.1,11,Amount per 100 g. of edible portion
18,Bakla (French Beans) Green,s,,50,26,4.5,132,10,0,0.01,0.06,0.1,1.8,15,0.6,38,0.12,0.02,0.3,28,120,1.7,0,0.06,4.3,37,0.08,24,91.4,0.42,11,Amount per 100 g. of edible portion
19,Bakri ka Doodh (Goat Milk),,,170,72,4.6,55,0,0,0,0,4.5,0,0.7,0.3,0,0,0,0.3,120,110,3.3,0,0.04,11,0,0.05,1,86.8,0,5,Amount per 100 g. of edible portion
20,Bakri ka Gosht (Mutton),,,150,194,0,9,0,0,0,0,13.3,0,1,2.5,0,0,0,6.8,150,270,18.5,0,0.14,33,0,0.18,0,71.5,0,1,Amount per 100 g. of edible portion
21,"Ber (Bor), Zizyphus",f,,4,74,17,21,0,0,0.01,0.12,0.3,0,0,0.5,13,0.17,0,0.7,9,0,0.8,0,0.05,0,0,0.02,76,81.6,0.11,2,Amount per 100 g. of edible portion
22,Bhindi (Lady Finger),,,66,35,64,52,41,0,0.01,0.11,0.2,1.2,25,0.35,53,0.15,0,0.6,56,103,1.9,0,0.1,7,30,0.07,13,89.6,0.42,4,Amount per 100 g. of edible portion
23,Bombil (Bombay Duck) (Dry),,,1389,293,2.5,0,0,0,0,0,4,0,0,19.5,0,0,0,0,240,0,61.7,0,0,0,0,0,0,16.7,0,0,Amount per 100 g. of edible portion
24,Bread(White),b,,11,245,51.9,0,27,14.6,0,0.13,0.7,0.2,25,1.1,23,0.38,0,0.7,99,119,7.8,0.1,0.3,27,70,0.07,0,39,0.62,0,Amount per 100 g. of edible portion
25,Chachinda (Snake Gourd),s,,26,18,3.3,96,21,0,0,0.27,0.3,0.8,7.5,1.51,28,0.14,0,0.3,20,34,0.5,0,0.06,25.4,35,0.04,0,94.6,0.31,8,Amount per 100 g. of edible portion
26,Chana (Bengal Gram),s,,202,360,60.9,189,58,194,0.01,1.18,5.3,3.9,34,4.6,119,1.21,0.15,2.9,312,808,17.1,0,0.15,37.2,179,0.3,3,9.8,6.1,16,Amount per 100 g. of edible portion
27,Chana (Bengal Gram) Daal,s,,56,372,59.8,129,39,0,0,1.34,5.6,1.2,32,5.3,130,1.05,0.2,2.4,331,720,20.8,0,0.18,73.2,160,0.48,1,9.9,1.7,11,Amount per 100 g. of edible portion
28,Chana (Bengal Gram)(roasted),b,,58,369,58.1,113,0,0,0,0,5.2,1,22,9.5,0,0,0,1.3,340,0,22.5,0,0,0,0,0.2,0,10.7,0,9,Amount per 100 g. of edible portion
29,"Chandva (Pomfret, White Fish)",s,nv,200,87,1.8,0,0,0,0,0,1.3,0,0,0.9,0,0,0,2.6,290,0,17,0,0.15,0,0,0,0,78.4,0,0,Amount per 100 g. of edible portion
30,"Charoli, Chirongi (Piyal Seeds)",s,,279,656,12.1,0,25,0,0,0.86,59.1,3.8,0,8.5,373,0,0,1.5,528,4.36,19,0,0.53,10.2,156,0.68,5,3,0,0,Amount per 100 g. of edible portion
31,Chavli (Cow Peas),,,77,323,54.5,12,10,202,0.03,0.87,1,3.8,69,8.6,210,1.34,1.89,1.3,414,1131,24.1,0,0.2,23.2,165,0.51,0,13.4,4.6,1,Amount per 100 g. of edible portion
